,product,started,closed,winner,price
0,Pacote 100 Lances,2021-10-02 23:00:00,2021-10-02 23:13:41,ALONSO_,"R$ 2,04"
1,MacBook Air Intel,2021-10-02 22:00:00,2021-10-02 22:46:18,BellaMMN,"R$ 8,15"
2,Pacote 100 Lances,2021-10-02 21:00:00,2021-10-02 21:38:58,Andrea Costa,"R$ 5,17"
3,Lava E Seca,2021-10-02 19:00:00,2021-10-02 21:22:41,Dani_alamo_adv,"R$ 18,75"
4,Smart TV LED,2021-10-02 16:00:00,2021-10-02 21:04:17,Marciaad,"R$ 49,22"
5,5 Polegadas Vermelho,2021-10-02 20:30:00,2021-10-02 20:39:06,T.A.K.A,"R$ 2,11"
6,PIX de 200,2021-10-02 19:30:00,2021-10-02 19:59:33,email,"R$ 6,82"
7,Caixa de Som,2021-10-02 11:00:00,2021-10-02 18:35:32,panini.joão,"R$ 54,96"
8,Pacote 50 Lances,2021-10-02 18:00:00,2021-10-02 18:19:53,xande502,"R$ 3,85"
9,Apple Watch Series,2021-10-02 17:00:00,2021-10-02 17:09:48,4788999900,"R$ 3,81"
10,Pacote 50 Lances,2021-10-02 15:00:00,2021-10-02 15:21:29,Clark Rodrigues,"R$ 4,50"
11,Professional Gaming Headset,2021-10-02 14:00:00,2021-10-02 14:14:49,Ciclope,"R$ 2,95"
12,Câmera Insta360 One,2021-10-02 13:00:00,2021-10-02 13:35:51,F15 Roldan,"R$ 4,05"
13,Pacote 100 Lances,2021-10-02 12:00:00,2021-10-02 12:12:17,Peterson 1,"R$ 2,38"
14,iPhone 12 Pro,2021-10-02 10:00:00,2021-10-02 10:54:19,Jairo_Marsil,"R$ 6,74"
15,PIX de 500,2021-10-02 08:00:00,2021-10-02 10:00:18,KelVi___,"R$ 12,33"
16,GoPro HERO 9,2021-10-01 19:00:00,2021-10-02 09:16:23,Bia-2021,"R$ 77,01"
17,Pacote 50 Lances,2021-10-02 09:00:00,2021-10-02 09:02:08,gersonabj,"R$ 0,50"
18,Fone De Ouvido,2021-10-02 07:00:00,2021-10-02 08:01:44,Daniel de Santi,"R$ 6,34"
19,Pacote 50 Lances,2021-10-02 06:00:00,2021-10-02 06:06:22,petroniodocort,"R$ 1,24"
20,5 Digital Edition,2021-10-01 13:00:00,2021-10-02 03:37:20,gordinhovencedor,"R$ 97,08"
21,Cervejeira Metalfrio VN50FL,2021-10-01 20:30:00,2021-10-01 23:35:15,Tancredo29,"R$ 15,74"
22,Pacote 100 Lances,2021-10-01 23:00:00,2021-10-01 23:08:29,email,"R$ 1,72"
23,Pacote 100 Lances,2021-10-01 21:00:00,2021-10-01 22:17:31,EQUINOX-SRS,"R$ 7,80"
24,A Intel Core,2021-10-01 22:00:00,2021-10-01 22:02:30,franciscojunior.,"R$ 2,10"
25,iPad Air 10,2021-10-01 20:00:00,2021-10-01 21:00:36,cadumusic,"R$ 8,95"
26,Mesa para Notebook,2021-10-01 19:30:00,2021-10-01 20:03:08,Mafiosa-07,"R$ 3,45"
27,Pacote 50 Lances,2021-10-01 18:00:00,2021-10-01 18:10:54,Barretinho123,"R$ 2,41"
28,Smart TV 75,2021-10-01 16:00:00,2021-10-01 18:04:07,jessicam.victoria.mg,"R$ 21,02"
29,Refrigerador Brastemp Frost,2021-10-01 17:00:00,2021-10-01 17:20:15,FOSTER13,"R$ 4,85"
30,Pacote 50 Lances,2021-10-01 15:00:00,2021-10-01 15:16:23,Petrus48,"R$ 2,76"
31,Poltrona Grafite Suede,2021-10-01 14:00:00,2021-10-01 14:43:35,gobbo,"R$ 6,10"
32,PIX de 1.000,2021-10-01 07:00:00,2021-10-01 14:14:54,email,"R$ 51,38"
33,Pacote 100 Lances,2021-10-01 12:00:00,2021-10-01 13:28:38,Comboyodamoto,"R$ 11,98"
34,iPhone 12 Pro,2021-10-01 10:00:00,2021-10-01 13:05:21,marcelomaestro7,"R$ 26,68"
35,Cama Box Colch,2021-10-01 11:00:00,2021-10-01 11:07:54,Le_Mazzer,"R$ 2,17"
36,Pacote 50 Lances,2021-10-01 09:00:00,2021-10-01 09:09:04,lfernandocs,"R$ 1,74"
37,Caixa de Som,2021-10-01 08:00:00,2021-10-01 08:17:04,Tonelli_Moises,"R$ 3,75"
38,iPhone 12 Pro,2021-09-30 10:00:00,2021-10-01 07:31:24,email,"R$ 158,16"
39,Pacote 50 Lances,2021-10-01 06:00:00,2021-10-01 06:04:45,murilomarinho,"R$ 1,77"
40,Smart TV LED,2021-09-30 20:00:00,2021-10-01 05:04:54,GARMEL,"R$ 63,67"
41,Apple Watch Series,2021-09-30 20:30:00,2021-10-01 02:21:17,Kelvin_Soares_RJ,"R$ 31,84"
42,MacBook Air Intel,2021-09-30 22:00:00,2021-10-01 01:59:27,Kelvin_Soares_RJ,"R$ 23,12"
43,Lava E Seca,2021-09-30 17:00:00,2021-10-01 00:26:47,vagnerpirajá,"R$ 44,13"
44,Pacote 100 Lances,2021-09-30 23:00:00,2021-09-30 23:14:57,Choliveira,"R$ 2,65"
45,Pacote 100 Lances,2021-09-30 21:00:00,2021-09-30 21:39:18,lajr,"R$ 5,38"
46,Refrigerador Brastemp Frost,2021-09-30 07:00:00,2021-09-30 21:04:04,meu_esse_,"R$ 93,09"
47,Climatizador de Ar,2021-09-30 19:30:00,2021-09-30 19:52:09,jribeiromourao,"R$ 3,51"
48,Pacote 100 Lances,2021-09-29 23:00:00,2021-09-29 23:57:54,email,"R$ 7,46"
49,Cervejeira Metalfrio VN50FL,2021-09-29 19:00:00,2021-09-29 22:56:37,narapozzan,"R$ 23,57"
50,Drone Multilaser Eagle,2021-09-29 20:30:00,2021-09-29 21:54:09,marciocimed,"R$ 10,77"
51,5 Digital Edition,2021-09-29 20:00:00,2021-09-29 21:21:40,carlos conti,"R$ 11,62"
52,Pacote 100 Lances,2021-09-29 21:00:00,2021-09-29 21:12:42,Sangiovese,"R$ 2,05"
53,PIX de 200,2021-09-29 19:30:00,2021-09-29 20:25:03,reneraphael,"R$ 10,34"
54,Apple Watch Series,2021-09-29 07:00:00,2021-09-29 19:53:29,KANDREVA,"R$ 87,44"
55,Maquina De Gelo,2021-09-29 17:00:00,2021-09-29 19:15:28,larygaby,"R$ 15,90"
56,Pacote 50 Lances,2021-09-29 18:00:00,2021-09-29 18:04:24,rafi_moreira,"R$ 1,40"
57,GoPro HERO 9,2021-09-29 13:00:00,2021-09-29 17:58:05,VACINADO,"R$ 31,40"
