,product,started,closed,winner,price
0,Smart TV 75,2022-01-17 16:00:00,2022-01-17 22:16:28,fleurimarcos,"R$ 49,51"
1,Pacote 100 Lances,2022-01-17 21:00:00,2022-01-17 21:13:22,Plobo,"R$ 1,70"
2,PIX de 200,2022-01-17 19:30:00,2022-01-17 21:09:59,Queixim,"R$ 12,85"
3,Patinete Elétrico Foston,2022-01-17 19:00:00,2022-01-17 20:12:30,cadumusic,"R$ 7,83"
4,iPad Air 10,2022-01-17 20:00:00,2022-01-17 20:11:27,sachetti,"R$ 1,96"
5,PIX de 1.000,2022-01-17 17:00:00,2022-01-17 19:34:59,Tercio Vilet,"R$ 18,73"
6,Pacote 50 Lances,2022-01-17 18:00:00,2022-01-17 18:04:13,email,"R$ 0,89"
7,IPhone 13 Pro,2022-01-17 10:00:00,2022-01-17 18:03:09,Fábio Minnesota,"R$ 62,87"
8,Pacote 50 Lances,2022-01-17 15:00:00,2022-01-17 15:58:34,Galo 12,"R$ 7,46"
9,Microondas 25L Espelhado,2022-01-17 14:00:00,2022-01-17 14:52:37,Adia Borges,"R$ 7,09"
10,5 Digital Edition,2022-01-17 13:00:00,2022-01-17 14:14:35,ricardomonti,"R$ 11,45"
11,Pacote 100 Lances,2022-01-17 12:00:00,2022-01-17 13:22:04,clovis_p_junior,"R$ 11,04"
12,Câmera Insta360 One,2022-01-17 11:00:00,2022-01-17 11:36:21,dom.oliveto,"R$ 3,51"
13,Pacote 50 Lances,2022-01-17 09:00:00,2022-01-17 09:34:34,juniorjapa,"R$ 4,08"
14,Fone Bose Quietcomfort,2022-01-17 08:00:00,2022-01-17 09:00:46,m.piovezani,"R$ 5,89"
15,Computador Completo Monitor,2022-01-17 07:00:00,2022-01-17 07:41:28,vagnerpirajá,"R$ 6,35"
16,Pacote 50 Lances,2022-01-17 06:00:00,2022-01-17 06:15:46,Rpsa0022,"R$ 2,44"
17,MacBook Air Intel,2022-01-16 22:00:00,2022-01-17 02:16:43,Zanatti Carlos,"R$ 28,76"
18,Pacote 100 Lances,2022-01-16 23:00:00,2022-01-16 23:08:53,Iarley2022,"R$ 1,60"
19,Refrigerador Brastemp Frost,2022-01-16 19:00:00,2022-01-16 22:34:47,Kabana23,"R$ 23,97"
20,Pacote 100 Lances,2022-01-16 21:00:00,2022-01-16 21:59:13,02256183548,"R$ 6,56"
21,Climatizador de Ar,2022-01-16 20:30:00,2022-01-16 21:53:14,Luiscma96,"R$ 12,03"
22,Caixa de Som,2022-01-16 19:30:00,2022-01-16 20:19:35,Sacramento61,"R$ 6,19"
23,Honda CG 160,2022-01-16 20:00:00,2022-01-16 20:01:10,Grolli_Cesar,"R$ 2,14"
24,Smart TV LED,2022-01-15 20:00:00,2022-01-16 19:45:59,@marcelolino_1990,"R$ 148,62"
25,Pacote 50 Lances,2022-01-16 18:00:00,2022-01-16 18:28:23,Sergio Sales,"R$ 3,52"
26,f15 core i7,2022-01-16 17:00:00,2022-01-16 18:12:34,SidSouza,"R$ 10,58"
27,Smart TV 75,2022-01-16 16:00:00,2022-01-16 16:02:47,LaminadosSP,"R$ 2,07"
28,iPad Air 10,2022-01-16 14:00:00,2022-01-16 15:48:41,papaichego,"R$ 10,90"
29,Hoverboard Smart Balance,2022-01-16 13:00:00,2022-01-16 15:32:42,p.dalben,"R$ 14,38"
30,Pacote 50 Lances,2022-01-16 15:00:00,2022-01-16 15:01:24,IsraelRAlmeida,"R$ 0,68"
31,Apple Watch Series,2022-01-16 11:00:00,2022-01-16 12:25:10,R.E.N.A.T.O,"R$ 8,71"
32,Pacote 100 Lances,2022-01-16 12:00:00,2022-01-16 12:13:14,dlonguinho,"R$ 2,50"
33,IPhone 13 Pro,2022-01-16 10:00:00,2022-01-16 11:56:55,waltz221,"R$ 13,90"
34,PIX de 1.000,2022-01-16 08:00:00,2022-01-16 10:18:16,VACINADO,"R$ 14,50"
35,Pacote 50 Lances,2022-01-16 09:00:00,2022-01-16 09:06:22,Clacerd1,"R$ 0,84"
36,Smart TV Led,2022-01-16 07:00:00,2022-01-16 07:17:57,Daniel de Santi,"R$ 2,05"
37,5 Digital Edition,2022-01-15 16:00:00,2022-01-16 06:37:42,BASALTO,"R$ 92,25"
38,Pacote 50 Lances,2022-01-16 06:00:00,2022-01-16 06:01:54,lauracopetti,"R$ 0,64"
39,Maquina De Gelo,2022-01-15 19:00:00,2022-01-16 01:12:13,TAKARU,"R$ 39,86"
40,iPad Air 10,2022-01-15 20:30:00,2022-01-15 23:23:12,email,"R$ 20,76"
41,Pacote 100 Lances,2022-01-15 23:00:00,2022-01-15 23:17:57,Willie3,"R$ 2,24"
42,Cervejeira Metalfrio VN50FL,2022-01-15 17:00:00,2022-01-15 22:54:27,seu doda,"R$ 34,99"
43,A Intel Core,2022-01-15 22:00:00,2022-01-15 22:46:18,Chiminazzo,"R$ 5,47"
44,Pacote 100 Lances,2022-01-15 21:00:00,2022-01-15 21:15:42,Geovateixeira032,"R$ 2,47"
45,Drone Multilaser Eagle,2022-01-15 19:30:00,2022-01-15 19:43:56,primarques34,"R$ 2,10"
46,Pacote 50 Lances,2022-01-15 18:00:00,2022-01-15 18:18:32,icicarello,"R$ 1,97"
47,Pacote 50 Lances,2022-01-15 15:00:00,2022-01-15 15:52:29,João Paulo de Almeida,"R$ 7,15"
48,PIX de 1.000,2022-01-15 13:00:00,2022-01-15 14:56:02,Pac_Man,"R$ 15,46"
49,Patinete Elétrico Foston,2022-01-15 14:00:00,2022-01-15 14:09:27,cláudiovasques1,"R$ 1,44"
50,Pacote 100 Lances,2022-01-15 12:00:00,2022-01-15 12:32:01,Monalicelance,"R$ 4,30"
51,Câmera Insta360 One,2022-01-15 11:00:00,2022-01-15 12:28:35,Fabiano_Nigro,"R$ 8,65"
52,IPhone 13 Pro,2022-01-15 10:00:00,2022-01-15 11:26:06,C ZAGUINI,"R$ 10,25"
53,Bicicleta Aro 29,2022-01-15 07:00:00,2022-01-15 10:10:49,Lance.do.Cidão,"R$ 18,52"
